the_geom,ObjectID,BoroCode,BoroName,BoroCD,CounDist,AssemDist,StSenDist,CongDist,SiteID,Category,Installati,Address,GeocodeAdd,Street,CrossStree,Borough,ComDist,BusRoute,BID,Latitude,Longitude,NTAName,FEMAFldz,FEMAFldT,HrcEvac,SeatingTyp,date,year
POINT (-73.89272487118217 40.83206469651144),1973,2.0,Bronx,203.0,17.0,79.0,32.0,15.0,1535,General,02/04/2013,1334 Louis Nine Boulevard,1334 Louis Nine Boulevard,Plaza,"Intervale Avenue, Louis Nine Blvd & Jennings Street",Bronx,203,Not Applicable,Not Applicable,40.8320646965,-73.8927248712,Crotona Park East,X,AREA OF MINIMAL FLOOD HAZARD,,BACKED,2013-02-04,2013.0
POINT (-73.91912636719141 40.81632711836232),1551,2.0,Bronx,201.0,17.0,84.0,32.0,15.0,25,Bus Route,05/16/2012,360 East 149th Street,360 East 149th Street,East 149th Street,Courtlandt and Melrose Avenues,Bronx,201,BX19,Not Applicable,40.8163271184,-73.9191263672,Melrose,X,AREA OF MINIMAL FLOOD HAZARD,,BACKLESS,2012-05-16,2012.0
POINT (-73.88373564362394 40.755835361441875),1191,4.0,Queens,403.0,25.0,34.0,13.0,14.0,1980,General,09/26/2013,83-17 Northern Boulevard,83-17 Northern Boulevard,Northern Boulevard,83rd & 84th Street,Queens,403,Not Applicable,Not Applicable,40.7558353614,-73.8837356436,Jackson Heights,X,AREA OF MINIMAL FLOOD HAZARD,,BACKED,2013-09-26,2013.0
POINT (-73.86248525907325 40.74952752338081),1931,4.0,Queens,404.0,21.0,39.0,13.0,14.0,1342,Plaza,06/01/2018,103-12 Roosevelt Avenue,103-12 Roosevelt Avenue,Roosevelt Avenue,104th and National Streets,Queens,404,Q20A,Not Applicable,40.7495275234,-73.8624852591,Corona,X,AREA OF MINIMAL FLOOD HAZARD,,BACKLESS,2018-06-01,2018.0
POINT (-73.88059528469375 40.741687111830345),1059,4.0,Queens,404.0,25.0,39.0,16.0,6.0,4219,Bus Route,01/31/2019,8277 Broadway,8277 Broadway,Broadway,Whitney Avenue & 45th Avenue,Queens,404,Q52,Not Applicable,40.7416871118,-73.8805952847,Elmhurst,X,AREA OF MINIMAL FLOOD HAZARD,,BACKED,2019-01-31,2019.0
POINT (-73.9497085504251 40.74032780310102),1049,4.0,Queens,402.0,26.0,37.0,12.0,12.0,2066,Community Health Centers,08/14/2013,21-10 Borden Avenue,21-10 Borden Avenue,Borden Avenue,21st and 23rd Streets,Queens,402,Not Applicable,Not Applicable,40.7403278031,-73.9497085504,Long Island City-Hunters Point,AE,,1.0,BACKED,2013-08-14,2013.0
POINT (-73.87893025127298 40.66548233749766),456,3.0,Brooklyn,305.0,42.0,60.0,19.0,8.0,3260,Municipal Facilities,06/13/2016,921 Hegeman Avenue,921 Hegeman Avenue,Hegeman Avenue,Essex Street & Linwood Street,Brooklyn,305,Not Applicable,Not Applicable,40.6654823375,-73.8789302513,East New York-New Lots,X,AREA OF MINIMAL FLOOD HAZARD,3.0,BACKED,2016-06-13,2016.0
POINT (-73.8626907068941 40.729396591273975),983,4.0,Queens,406.0,29.0,28.0,16.0,6.0,2290,General,12/11/2013,95-02 63rd Drive,95-02 63rd Drive,63rd Drive,Queens Blvd & Saunders Street,Queens,406,Not Applicable,Not Applicable,40.7293965913,-73.8626907069,Rego Park,X,AREA OF MINIMAL FLOOD HAZARD,,BACKED,2013-12-11,2013.0
POINT (-73.991675285777 40.6175200789309),172,3.0,Brooklyn,311.0,47.0,49.0,22.0,10.0,3398,Bus Route,10/29/2016,6715 18th Avenue,6715 18th Avenue,18th Avenue,67th Street & 68th Street,Brooklyn,311,B8,Not Applicable,40.6175200789,-73.9916752858,Bensonhurst,X,AREA OF MINIMAL FLOOD HAZARD,,BACKLESS,2016-10-29,2016.0
POINT (-73.83235607366976 40.715557955730866),910,4.0,Queens,406.0,29.0,27.0,14.0,6.0,2162,General,09/24/2013,116-55 Queens Boulevard,116-55 Queens Boulevard,Queens Boulevard,77th and 78th Avenues,Queens,406,Q60,Not Applicable,40.7155579557,-73.8323560737,Forest Hills,X,AREA OF MINIMAL FLOOD HAZARD,,BACKED,2013-09-24,2013.0
POINT (-73.88656661433215 40.75553541579448),2005,4.0,Queens,403.0,25.0,34.0,13.0,14.0,1981,General,09/26/2013,80-15 Northern Boulevard,80-15 Northern Boulevard,Northern Boulevard,80th & 81st Street,Queens,403,Not Applicable,Not Applicable,40.7555354158,-73.8865666143,Jackson Heights,X,AREA OF MINIMAL FLOOD HAZARD,,BACKED,2013-09-26,2013.0
POINT (-73.94217274826542 40.69236725045962),720,3.0,Brooklyn,303.0,36.0,56.0,18.0,8.0,3216,Municipal Facilities,06/06/2016,844 Dekalb Avenue,844 Dekalb Avenue,Dekalb Avenue,Throop Avenue & Marcus Garvey Boulevard,Brooklyn,303,Not Applicable,Not Applicable,40.6923672505,-73.9421727483,Bedford-Stuyvesant (East),X,AREA OF MINIMAL FLOOD HAZARD,,BACKED,2016-06-06,2016.0
POINT (-73.89877445193174 40.862329160268956),1798,2.0,Bronx,207.0,14.0,86.0,33.0,15.0,1193,BID,05/07/2013,125 East Fordham Road,125 East Fordham Road,East Fordham Road,Creston Avenue & Morris Avenue,Bronx,207,Not Applicable,Fordham Road,40.8623291603,-73.8987744519,University Heights (North)-Fordham,X,AREA OF MINIMAL FLOOD HAZARD,,BACKED,2013-05-07,2013.0
POINT (-73.99502657697549 40.57396416637481),12,3.0,Brooklyn,313.0,47.0,46.0,23.0,8.0,1164,Senior Center,09/17/2012,2955 West 29th Street,2955 West 29th Street,West 29th Street,Surf and Mermaid Avenues,Brooklyn,313,Not Applicable,Not Applicable,40.5739641664,-73.995026577,Coney Island-Sea Gate,AE,,1.0,BACKED,2012-09-17,2012.0
POINT (-73.8625749634915 40.74953406636623),1946,4.0,Queens,404.0,21.0,39.0,13.0,14.0,1342,Plaza,06/01/2018,103-12 Roosevelt Avenue,103-12 Roosevelt Avenue,Roosevelt Avenue,104th and National Streets,Queens,404,Q20A,Not Applicable,40.7495340664,-73.8625749635,Corona,X,AREA OF MINIMAL FLOOD HAZARD,,BACKED,2018-06-01,2018.0
POINT (-73.96214284080938 40.60802035416728),128,3.0,Brooklyn,315.0,44.0,45.0,17.0,11.0,3794,Senior Safety,07/06/2017,2020 Coney Island Avenue,2020 Coney Island Avenue,Coney Island Avenue,Quentin Road & Avenue P,Brooklyn,315,Not Applicable,Not Applicable,40.6080203542,-73.9621428408,Gravesend (East)-Homecrest,X,AREA OF MINIMAL FLOOD HAZARD,6.0,BACKED,2017-07-06,2017.0
POINT (-73.89095652153071 40.86161754329262),1983,2.0,Bronx,207.0,15.0,78.0,34.0,15.0,1694,BID,02/07/2013,401 E. Fordham Road,401 E. Fordham Road,East Fordham Road,Third Avenue & Webster Avenue,Bronx,206,Not Applicable,Fordham Road,40.8616175433,-73.8909565215,Belmont,X,AREA OF MINIMAL FLOOD HAZARD,,BACKED,2013-02-07,2013.0
POINT (-73.87084815863288 40.73334083574202),1001,4.0,Queens,404.0,25.0,35.0,16.0,6.0,3581,General,01/21/2017,90-20 Queens Boulevard,90-20 Queens Boulevard,Queens Boulevard,57th Avenue & Woodhaven Boulevard,Queens,404,Not Applicable,Not Applicable,40.7333408357,-73.8708481586,Elmhurst,X,AREA OF MINIMAL FLOOD HAZARD,6.0,BACKED,2017-01-21,2017.0
POINT (-73.90694435596068 40.87992229425381),1851,2.0,Bronx,208.0,11.0,81.0,34.0,13.0,1131,General,01/11/2013,260 West 231st Street,260 West 231st Street,West 231st Street,Corlear Avenue and Kingsbridge Avenue,Bronx,208,Not Applicable,Not Applicable,40.8799222943,-73.906944356,Kingsbridge-Marble Hill,X,AREA OF MINIMAL FLOOD HAZARD,5.0,BACKED,2013-01-11,2013.0
POINT (-73.83195181761441 40.88913190522535),1873,2.0,Bronx,212.0,12.0,83.0,36.0,16.0,2771,General,01/06/2015,1534 E. 233rd Street,1534 E. 233rd Street,E. 233rd Street,Secor Avenue & Dyre Avenue,Bronx,212,BX16,Not Applicable,40.8891319052,-73.8319518176,Eastchester-Edenwald-Baychester,X,AREA OF MINIMAL FLOOD HAZARD,,BACKLESS,2015-01-06,2015.0
POINT (-73.98038076140425 40.676266302192495),568,3.0,Brooklyn,306.0,39.0,52.0,25.0,7.0,1878,General,04/11/2013,207 5th Avenue,207 5th Avenue,Union Street,5th Avenue & 6th Avenue,Brooklyn,306,Not Applicable,Not Applicable,40.6762663022,-73.9803807614,Park Slope,X,AREA OF MINIMAL FLOOD HAZARD,,BACKED,2013-04-11,2013.0
POINT (-73.94596418250157 40.79313966620334),1428,1.0,Manhattan,111.0,8.0,68.0,29.0,13.0,1242,General,10/09/2012,127 East 107th Street,127 East 107th Street,East 107th Street,East 107th and 108th Streets,Manhattan,111,Not Applicable,Not Applicable,40.7931396662,-73.9459641825,East Harlem (South),X,AREA OF MINIMAL FLOOD HAZARD,3.0,BACKED,2012-10-09,2012.0
POINT (-74.00615734409851 40.72419784147287),2051,1.0,Manhattan,102.0,3.0,66.0,26.0,10.0,2687,BID,12/12/2014,104 Varick Street,104 Varick Street,Varick Street,Watts Street & Broome Street,Manhattan,102,Not Applicable,Hudson Square Connection,40.7241978415,-74.0061573441,SoHo-Little Italy-Hudson Square,X,AREA OF MINIMAL FLOOD HAZARD,2.0,BACKLESS,2014-12-12,2014.0
POINT (-73.91280581511987 40.82308879567001),1598,2.0,Bronx,203.0,17.0,79.0,32.0,15.0,796,General,01/10/2013,843 Elton Avenue,843 Elton Avenue,East 160th Street,East 159th and 160th Streets,Bronx,203,Not Applicable,Not Applicable,40.8230887957,-73.9128058151,Morrisania,X,AREA OF MINIMAL FLOOD HAZARD,6.0,BACKED,2013-01-10,2013.0
POINT (-73.92529386805565 40.762162549772675),1245,4.0,Queens,401.0,22.0,36.0,12.0,12.0,4139,Other,05/01/2018,3015 Broadway,3015 Broadway,31st Street,Broadway & 31st Avenue,Queens,401,Q102,Not Applicable,40.7621625498,-73.9252938681,Astoria (Central),X,AREA OF MINIMAL FLOOD HAZARD,,BACKLESS,2018-05-01,2018.0
POINT (-73.94025001618512 40.84579987069816),1714,1.0,Manhattan,112.0,10.0,71.0,31.0,13.0,3284,Municipal Facilities,05/24/2016,306 Fort Washington Avenue,306 Fort Washington Avenue,Fort Washington Avenue,173rd Street & 174th Street,Manhattan,112,Not Applicable,Not Applicable,40.8457998707,-73.9402500162,Washington Heights (South),X,AREA OF MINIMAL FLOOD HAZARD,,BACKED,2016-05-24,2016.0
POINT (-73.89926257767787 40.846153713712965),1719,2.0,Bronx,206.0,15.0,86.0,33.0,15.0,2728,Municipal Facilities,09/03/2014,459 E. 176th Street,459 E. 176th Street,E. 176th Street,Park Avenue and Washington Avenue,Bronx,206,Not Applicable,Not Applicable,40.8461537137,-73.8992625777,Tremont,X,AREA OF MINIMAL FLOOD HAZARD,,BACKED,2014-09-03,2014.0
POINT (-73.73354764782889 40.72772025476568),1978,4.0,Queens,413.0,23.0,33.0,11.0,5.0,1583,General,02/05/2013,223-88 91st Road,223-88 91st Road,Plaza,"Braddock Avenue, Moline Street and 91st Road",Queens,413,Not Applicable,Not Applicable,40.7277202548,-73.7335476478,Queens Village,X,AREA OF MINIMAL FLOOD HAZARD,,BACKED,2013-02-05,2013.0
POINT (-73.93439558767986 40.584175726362425),40,3.0,Brooklyn,315.0,48.0,41.0,23.0,8.0,2313,General,01/14/2014,3129 Emmons Avenue,3129 Emmons Avenue,Emmons Avenue,Ford Street & Coyle Street,Brooklyn,315,Not Applicable,Not Applicable,40.5841757264,-73.9343955877,Sheepshead Bay-Manhattan Beach-Gerritsen Beach,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,1.0,BACKED,2014-01-14,2014.0
POINT (-73.94130039642451 40.698701527346024),778,3.0,Brooklyn,303.0,36.0,56.0,18.0,7.0,1060,Senior Center,09/18/2012,760 Broadway,21 Park Avenue,Marcus Garvey Boulevard,Throop Avenue and Marcus Garvey Boulevard,Brooklyn,303,Not Applicable,Not Applicable,40.6987015273,-73.9413003964,Bedford-Stuyvesant (East),X,AREA OF MINIMAL FLOOD HAZARD,5.0,BACKED,2012-09-18,2012.0
POINT (-73.85716465410276 40.83692792985454),2139,2.0,Bronx,209.0,18.0,87.0,32.0,14.0,4198,General,08/01/2018,1536 Unionport Road,1536 Unionport Road,Unionport Road,Starling Avenue & Metropolitan Oval,Bronx,209,BX22,Not Applicable,40.8369279299,-73.8571646541,Parkchester,X,AREA OF MINIMAL FLOOD HAZARD,6.0,BACKED,2018-08-01,2018.0
POINT (-73.91281905079907 40.65559045045545),370,3.0,Brooklyn,317.0,42.0,58.0,21.0,9.0,2972,Municipal Facilities,01/14/2015,1275 Linden Boulevard,575 East 98th Street,East 98th Street,Strauss Street & Hegeman Avenue,Brooklyn,317,B8,Not Applicable,40.6555904505,-73.9128190508,East Flatbush-Remsen Village,X,AREA OF MINIMAL FLOOD HAZARD,5.0,BACKLESS,2015-01-14,2015.0
POINT (-73.9073705861242 40.66887174860462),502,3.0,Brooklyn,316.0,41.0,55.0,20.0,8.0,3097,General,07/14/2015,77 Belmont Avenue,77 Belmont Avenue,Belmont Avenue,Watkins Street & Mother Gaston Boulevard,Brooklyn,316,Not Applicable,Not Applicable,40.6688717486,-73.9073705861,Brownsville,X,AREA OF MINIMAL FLOOD HAZARD,,BACKED,2015-07-14,2015.0
POINT (-73.7919256928331 40.680230148484874),604,4.0,Queens,412.0,28.0,32.0,10.0,5.0,2602,Municipal Facilities,04/20/2017,117-11 Sutphin Boulevard,117-11 Sutphin Boulevard,Sutphin Boulevard,Foch Boulevard and 118th Avenue,Queens,412,Not Applicable,Not Applicable,40.6802301485,-73.7919256928,Baisley Park,X,AREA OF MINIMAL FLOOD HAZARD,5.0,BACKED,2017-04-20,2017.0
POINT (-73.94145788613598 40.85130552694261),1758,1.0,Manhattan,112.0,10.0,71.0,31.0,13.0,3280,General,05/24/2016,340 Haven Avenue,340 Haven Avenue,W 181st Street,W 181st Street & GW Bridge On-Ramp,Manhattan,112,Not Applicable,Not Applicable,40.8513055269,-73.9414578861,Washington Heights (North),X,AREA OF MINIMAL FLOOD HAZARD,,BACKED,2016-05-24,2016.0
POINT (-73.94960957751552 40.78542054593888),1392,1.0,Manhattan,111.0,5.0,68.0,29.0,12.0,763,General,02/06/2013,175 East 96th Street,175 East 96th Street,East 96th Street,Third Avenue & Lexington Avenue,Manhattan,111,M96,Not Applicable,40.7854205459,-73.9496095775,East Harlem (South),X,AREA OF MINIMAL FLOOD HAZARD,,BACKLESS,2013-02-06,2013.0
POINT (-73.94572861999761 40.82799258892243),1626,1.0,Manhattan,109.0,7.0,71.0,30.0,13.0,3171,General,10/28/2015,1802 Amsterdam Avenue,1802 Amsterdam Avenue,Amsterdam Avenue,149th Street & 150th Street,Manhattan,109,Not Applicable,Not Applicable,40.8279925889,-73.94572862,Hamilton Heights-Sugar Hill,X,AREA OF MINIMAL FLOOD HAZARD,,BACKED,2015-10-28,2015.0
POINT (-73.94194143979212 40.81239057329724),1524,1.0,Manhattan,110.0,9.0,70.0,30.0,13.0,962,Senior Center,05/06/2013,448 Lenox Avenue,448 Lenox Avenue,Lenox Avenue,132nd & 133rd Street,Manhattan,110,Not Applicable,Not Applicable,40.8123905733,-73.9419414398,Harlem (North),X,AREA OF MINIMAL FLOOD HAZARD,5.0,BACKED,2013-05-06,2013.0
POINT (-73.92016060018456 40.611157540185836),133,3.0,Brooklyn,318.0,46.0,59.0,19.0,8.0,3134,AAR,09/09/2015,5100 Kings Plaza,5100 Kings Plaza,Avenue U,East 54th Street & East 55th Street,Brooklyn,318,Not Applicable,Not Applicable,40.6111575402,-73.9201606002,Marine Park-Mill Basin-Bergen Beach,X,AREA OF MINIMAL FLOOD HAZARD,2.0,BACKED,2015-09-09,2015.0
POINT (-73.91097911188972 40.776032284174484),1332,4.0,Queens,401.0,22.0,36.0,12.0,14.0,3512,General,11/30/2016,22-04 31st Street,22-04 31st Street,31st Street,Ditmars Blvd & 23rd Avenue,Queens,401,Not Applicable,Not Applicable,40.7760322842,-73.9109791119,Astoria (North)-Ditmars-Steinway,X,AREA OF MINIMAL FLOOD HAZARD,,BACKED,2016-11-30,2016.0
POINT (-73.93642758993992 40.79438408551588),1433,1.0,Manhattan,111.0,8.0,68.0,30.0,13.0,1259,General,10/11/2012,2182 First Avenue,2182 First Avenue,1st Avenue,East 112th and 114th Streets,Manhattan,111,M15,Not Applicable,40.7943840855,-73.9364275899,East Harlem (North),AE,,3.0,BACKLESS,2012-10-11,2012.0
POINT (-73.99169156358037 40.597854765286804),72,3.0,Brooklyn,311.0,47.0,47.0,22.0,10.0,3907,Senior Safety,01/17/2018,2360 Benson Avenue,2360 Benson Avenue,Benson Avenue,Bay 35th & 24th Avenue,Brooklyn,311,Not Applicable,Not Applicable,40.5978547653,-73.9916915636,Gravesend (West),X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,2.0,BACKED,2018-01-17,2018.0
POINT (-73.88029973258891 40.88199333185866),1856,2.0,Bronx,207.0,11.0,81.0,36.0,13.0,4048,Bus Route,03/06/2018,100 East Gun Hill Road,100 East Gun Hill Road,East Gun Hill Road,Dekalb Avenue & Rochambeau Avenue,Bronx,207,BX10,Jerome-Gun Hill,40.8819933319,-73.8802997326,Norwood,X,AREA OF MINIMAL FLOOD HAZARD,,BACKLESS,2018-03-06,2018.0
POINT (-74.00199840005445 40.607675512002224),127,3.0,Brooklyn,311.0,47.0,47.0,22.0,11.0,3277,General,04/30/2016,8501 18th Avenue,8501 18th Avenue,18th Avenue,85th Street & 86th Street,Brooklyn,311,B8,Not Applicable,40.607675512,-74.0019984001,Bensonhurst,X,AREA OF MINIMAL FLOOD HAZARD,6.0,BACKLESS,2016-04-30,2016.0
POINT (-73.9433191755016 40.65097549275174),342,3.0,Brooklyn,317.0,45.0,58.0,21.0,9.0,3894,Bus Route,08/17/2017,3604 Church Avenue,3604 Church Avenue,Church Avenue,Brooklyn Avenue & E 37th Street,Brooklyn,317,B35,Not Applicable,40.6509754928,-73.9433191755,East Flatbush-Erasmus,X,AREA OF MINIMAL FLOOD HAZARD,,BACKED,2017-08-17,2017.0
POINT (-73.96904953423378 40.63290030328503),236,3.0,Brooklyn,314.0,40.0,44.0,17.0,9.0,848,General,07/24/2012,736 East 8th Street,736 East 8th Street,East 8th Street,Webster Avenue & Newkirk Avenue,Brooklyn,314,Not Applicable,Not Applicable,40.6329003033,-73.9690495342,Flatbush (West)-Ditmas Park-Parkville,X,AREA OF MINIMAL FLOOD HAZARD,,BACKED,2012-07-24,2012.0
POINT (-73.92038497866697 40.84719425715594),1990,2.0,Bronx,205.0,14.0,77.0,29.0,15.0,1754,General,02/04/2014,1605 University Avenue,1605 University Avenue,University Avenue,W174th Street & W175th Street,Bronx,205,Not Applicable,Not Applicable,40.8471942572,-73.9203849787,University Heights (South)-Morris Heights,X,AREA OF MINIMAL FLOOD HAZARD,,BACKED,2014-02-04,2014.0
POINT (-73.95753304835831 40.77374047211062),1317,1.0,Manhattan,108.0,4.0,73.0,28.0,12.0,3034,Municipal Facilities,03/12/2015,1373 3rd Avenue,1373 3rd Avenue,3rd Avenue,78th Street and 79th Street,Manhattan,108,X1,Not Applicable,40.7737404721,-73.9575330484,Upper East Side-Lenox Hill-Roosevelt Island,X,AREA OF MINIMAL FLOOD HAZARD,,BACKLESS,2015-03-12,2015.0
POINT (-73.99975181171925 40.602827984212325),104,3.0,Brooklyn,311.0,47.0,47.0,23.0,11.0,3913,Senior Safety,01/17/2018,8681 20th Avenue,2001 Benson Avenue,Benson Avenue,Benson Avenue & 86th Street,Brooklyn,311,Not Applicable,Not Applicable,40.6028279842,-73.9997518117,Bensonhurst,X,AREA OF MINIMAL FLOOD HAZARD,6.0,BACKED,2018-01-17,2018.0
POINT (-74.0152017325953 40.632821114201555),243,3.0,Brooklyn,310.0,43.0,49.0,23.0,10.0,4116,General,03/14/2019,6615 7th Avenue,6615 7th Avenue,7th Avenue,66th Street & 67th Street,Brooklyn,310,Not Applicable,Not Applicable,40.6328211142,-74.0152017326,Dyker Heights,X,AREA OF MINIMAL FLOOD HAZARD,,BACKED,2019-03-14,2019.0
POINT (-73.92983457918676 40.75639076756631),1201,4.0,Queens,401.0,26.0,30.0,12.0,12.0,4136,Other,05/01/2018,3601 31st Street,3601 31st Street,31st Street,36th Avenue & 37th Avenue,Queens,401,Q102,Not Applicable,40.7563907676,-73.9298345792,Queensbridge-Ravenswood-Dutch Kills,X,AREA OF MINIMAL FLOOD HAZARD,,BACKLESS,2018-05-01,2018.0
POINT (-73.88686815492049 40.70138452932562),791,4.0,Queens,405.0,30.0,38.0,15.0,6.0,3541,General,12/09/2016,66-40 Myrtle Avenue,66-40 Myrtle Avenue,Myrtle Avenue,66th Place & 67th Street,Queens,405,Not Applicable,Not Applicable,40.7013845293,-73.8868681549,Glendale,X,AREA OF MINIMAL FLOOD HAZARD,,BACKED,2016-12-09,2016.0
POINT (-74.19244772474683 40.52852526153197),2241,5.0,Staten Island,503.0,51.0,62.0,24.0,11.0,760,General,12/21/2012,100 Luten Avenue,100 Luten Avenue,Luten Avenue,Eylandt Street & Deisius Street,Staten Island,503,S55,Not Applicable,40.5285252615,-74.1924477247,Annadale-Huguenot-Prince's Bay-Woodrow,X,AREA OF MINIMAL FLOOD HAZARD,6.0,BACKLESS,2012-12-21,2012.0
POINT (-73.94525832901203 40.61573500754388),2202,3.0,Brooklyn,314.0,45.0,41.0,19.0,9.0,38,Bus Route,09/25/2018,2955 Kings Highway,2955 Kings Highway,Kings Highway,Nostrand Avenue & East 31st Street,Brooklyn,0,B82,,40.6157350075,-73.945258329,Flatlands,X,AREA OF MINIMAL FLOOD HAZARD,5.0,LEANING BAR,2018-09-25,2018.0
POINT (-73.92853029467487 40.86638001872501),1813,1.0,Manhattan,112.0,10.0,71.0,31.0,13.0,1944,General,07/29/2013,250 Dyckman Street,250 Dyckman Street,Dyckman Street,Seaman Avenue & Payson Avenue,Manhattan,112,Not Applicable,Not Applicable,40.8663800187,-73.9285302947,Washington Heights (North),X,AREA OF MINIMAL FLOOD HAZARD,5.0,BACKED,2013-07-29,2013.0
POINT (-73.95075197436346 40.7436850717577),1085,4.0,Queens,402.0,26.0,37.0,12.0,12.0,1577,General,12/12/2012,12-01 Jackson Avenue,12-01 Jackson Avenue,Jackson Avenue,48th Avenue & 47th Road,Queens,402,Not Applicable,Not Applicable,40.7436850718,-73.9507519744,Long Island City-Hunters Point,X,AREA OF MINIMAL FLOOD HAZARD,3.0,BACKED,2012-12-12,2012.0
POINT (-73.8442473388548 40.72117671618794),937,4.0,Queens,406.0,29.0,28.0,16.0,6.0,3423,General,07/13/2016,107-37 71st Avenue,107-37 71st Aveue,71st Avenue,Austin Street & Queens Boulevard,Queens,406,Not Applicable,Not Applicable,40.7211767162,-73.8442473389,Forest Hills,X,AREA OF MINIMAL FLOOD HAZARD,,BACKED,2016-07-13,2016.0
POINT (-73.99387160231305 40.76201167580387),1240,1.0,Manhattan,104.0,3.0,67.0,27.0,10.0,1731,General,02/08/2013,645 10th Avenue,645 10th Avenue,10th Avenue,45th & 46th Streets,Manhattan,104,Not Applicable,Not Applicable,40.7620116758,-73.9938716023,Hell's Kitchen,X,AREA OF MINIMAL FLOOD HAZARD,4.0,BACKED,2013-02-08,2013.0
POINT (-73.94808213227797 40.63596606296576),265,3.0,Brooklyn,314.0,45.0,42.0,21.0,9.0,2315,General,02/11/2014,2030 Nostrand Avenue,2030 Nostrand Avenue,Nostrand Avenue,Farragut Road & Glenwood Road,Brooklyn,314,B44,Flatbush-Nostrand Junction,40.635966063,-73.9480821323,Flatbush,X,AREA OF MINIMAL FLOOD HAZARD,5.0,BACKLESS,2014-02-11,2014.0
POINT (-73.96667121964357 40.68336342296588),632,3.0,Brooklyn,302.0,35.0,57.0,25.0,8.0,2241,BID,10/25/2013,860 Fulton Street,860 Fulton Street,Fulton Street,Clinton Avenue & Waverly Place,Brooklyn,302,Not Applicable,Fulton Area Business (FAB) Alliance,40.683363423,-73.9666712196,Clinton Hill,X,AREA OF MINIMAL FLOOD HAZARD,,BACKLESS,2013-10-25,2013.0
POINT (-73.92931170254606 40.86001573584415),1778,1.0,Manhattan,112.0,10.0,72.0,31.0,13.0,2330,Senior Center,01/15/2014,54 Nagle Avenue,54 Nagle Avenue,Nagle Avenue,Ellwood Street & Hillside Avenue,Manhattan,112,Not Applicable,Not Applicable,40.8600157358,-73.9293117025,Washington Heights (North),X,AREA OF MINIMAL FLOOD HAZARD,5.0,BACKED,2014-01-15,2014.0
POINT (-73.89251259142893 40.65235175132657),359,3.0,Brooklyn,318.0,42.0,60.0,19.0,8.0,3491,Bus Route,01/23/2018,Breukelen Ballfields,11111 Flatlands Avenue,Flatlands Avenue,Louisiana Avenue & Vandalia Avenue,Brooklyn,318,B82,Not Applicable,40.6523517513,-73.8925125914,Canarsie,X,AREA OF MINIMAL FLOOD HAZARD,3.0,BACKED,2018-01-23,2018.0
POINT (-73.97903414789889 40.734705894288645),2207,1.0,Manhattan,106.0,4.0,74.0,27.0,12.0,43,Bus Route,12/10/2018,401 E 20th Street,401 E 20th Street,E 20th Street,1st Avenue & Avencue C,Manhattan,6,M23,,40.7347058943,-73.9790341479,Stuyvesant Town-Peter Cooper Village,X,AREA OF MINIMAL FLOOD HAZARD,3.0,LEANING BAR,2018-12-10,2018.0
POINT (-73.87557839773864 40.702539408536644),804,4.0,Queens,405.0,30.0,38.0,15.0,6.0,2529,Municipal Facilities,06/17/2014,78-60 73rd Place,78-60 73rd Place,73rd Place,78th Avenue & Myrtle Avenue,Queens,405,Not Applicable,Not Applicable,40.7025394085,-73.8755783977,Glendale,X,AREA OF MINIMAL FLOOD HAZARD,,BACKED,2014-06-17,2014.0
POINT (-74.00536190211193 40.62241224174384),204,3.0,Brooklyn,310.0,43.0,49.0,22.0,11.0,3405,Bus Route,11/03/2016,7108 13th Avenue,7108 13th Avenue,13th Avenue,71st Street & 72nd Street,Brooklyn,310,B64,Not Applicable,40.6224122417,-74.0053619021,Dyker Heights,X,AREA OF MINIMAL FLOOD HAZARD,,BACKLESS,2016-11-03,2016.0
POINT (-73.7497974948695 40.76848073439564),2042,4.0,Queens,411.0,19.0,26.0,11.0,3.0,2466,Plaza,08/19/2014,23421 41st Avenue,23421 41st Avenue,41st Avenue,235th Street,Queens,411,Not Applicable,Not Applicable,40.7684807344,-73.7497974949,Douglaston-Little Neck,X,AREA OF MINIMAL FLOOD HAZARD,3.0,BACKLESS,2014-08-19,2014.0
POINT (-73.91510958279852 40.6690177488519),507,3.0,Brooklyn,316.0,41.0,55.0,20.0,9.0,1712,BID,02/22/2013,1580 Pitkin Avenue,1580 Pitkin Avenue,Pitkin Avenue,Herzl Street & Amboy Street,Brooklyn,316,B14,Pitkin Avenue,40.6690177489,-73.9151095828,Brownsville,X,AREA OF MINIMAL FLOOD HAZARD,6.0,BACKLESS,2013-02-22,2013.0
POINT (-73.89808168015115 40.64546852837425),310,3.0,Brooklyn,318.0,46.0,58.0,19.0,8.0,173,Bus Route,09/19/2013,755 East 100th Street,10051 Flatlands Avenue,Flatlands Avenue,East 100th and 101st Streets,Brooklyn,318,B6,Not Applicable,40.6454685284,-73.8980816802,Canarsie,X,AREA OF MINIMAL FLOOD HAZARD,3.0,BACKLESS,2013-09-19,2013.0
